Trace ID,Amplitude Range,Start time,End time,Similarity
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:28:09.970000Z,2019-03-11T19:34:54.970000Z,-0.808113
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:28:14.970000Z,2019-03-11T19:34:59.970000Z,-0.808665
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:28:19.970000Z,2019-03-11T19:35:04.970000Z,-0.808422
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:28:24.970000Z,2019-03-11T19:35:09.970000Z,-0.807387
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:28:29.970000Z,2019-03-11T19:35:14.970000Z,-0.805562
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:28:34.970000Z,2019-03-11T19:35:19.970000Z,-0.802948
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:46:54.993000Z,2020-10-04T06:53:39.993000Z,0.800537
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:46:59.993000Z,2020-10-04T06:53:44.993000Z,0.802548
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:47:04.993000Z,2020-10-04T06:53:49.993000Z,0.803785
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:47:09.993000Z,2020-10-04T06:53:54.993000Z,0.804245
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:47:14.993000Z,2020-10-04T06:53:59.993000Z,0.803926
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:47:19.993000Z,2020-10-04T06:54:04.993000Z,0.802830
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:47:24.993000Z,2020-10-04T06:54:09.993000Z,0.800955
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:54:54.993000Z,2020-10-04T07:01:39.993000Z,-0.804698
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:54:59.993000Z,2020-10-04T07:01:44.993000Z,-0.810625
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:55:04.993000Z,2020-10-04T07:01:49.993000Z,-0.815768
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:55:09.993000Z,2020-10-04T07:01:54.993000Z,-0.820121
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:55:14.993000Z,2020-10-04T07:01:59.993000Z,-0.823680
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:55:19.993000Z,2020-10-04T07:02:04.993000Z,-0.826439
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:55:24.993000Z,2020-10-04T07:02:09.993000Z,-0.828397
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:55:29.993000Z,2020-10-04T07:02:14.993000Z,-0.829550
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:55:34.993000Z,2020-10-04T07:02:19.993000Z,-0.829897
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:55:39.993000Z,2020-10-04T07:02:24.993000Z,-0.829438
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:55:44.993000Z,2020-10-04T07:02:29.993000Z,-0.828171
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:55:49.993000Z,2020-10-04T07:02:34.993000Z,-0.826099
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:55:54.993000Z,2020-10-04T07:02:39.993000Z,-0.823221
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:55:59.993000Z,2020-10-04T07:02:44.993000Z,-0.819542
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:56:04.993000Z,2020-10-04T07:02:49.993000Z,-0.815063
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:56:09.993000Z,2020-10-04T07:02:54.993000Z,-0.809789
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T16:56:14.993000Z,2020-10-04T07:02:59.993000Z,-0.803724
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:03:09.993000Z,2020-10-04T07:09:54.993000Z,0.807150
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:03:14.993000Z,2020-10-04T07:09:59.993000Z,0.814506
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:03:19.993000Z,2020-10-04T07:10:04.993000Z,0.821070
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:03:24.993000Z,2020-10-04T07:10:09.993000Z,0.826834
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:03:29.993000Z,2020-10-04T07:10:14.993000Z,0.831794
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:03:34.993000Z,2020-10-04T07:10:19.993000Z,0.835943
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:03:39.993000Z,2020-10-04T07:10:24.993000Z,0.839278
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:03:44.993000Z,2020-10-04T07:10:29.993000Z,0.841794
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:03:49.993000Z,2020-10-04T07:10:34.993000Z,0.843490
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:03:54.993000Z,2020-10-04T07:10:39.993000Z,0.844362
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:03:59.993000Z,2020-10-04T07:10:44.993000Z,0.844411
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:04:04.993000Z,2020-10-04T07:10:49.993000Z,0.843635
